front,back,context,tags,deck
hello,xin chào,"Hello, how are you?",greeting,vietnamese-basics
thank you,cảm ơn,Thank you very much.,greeting,vietnamese-basics
goodbye,tạm biệt,Goodbye and safe travels.,greeting,vietnamese-basics
water,nước,I need some water.,noun,vietnamese-basics
bread,bánh mì,The bread is fresh.,noun,vietnamese-basics
coffee,cà phê,I drink coffee every morning.,noun,vietnamese-basics
house,ngôi nhà,This is my house.,noun,vietnamese-basics
book,sách,I am reading a book.,noun,vietnamese-basics
friend,bạn,She is my best friend.,noun,vietnamese-basics
happy,vui,He looks happy today.,adjective,vietnamese-basics
